City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
332,Portobelo,PA,9.55,-79.65,77.86,82,100,4.56,overcast clouds
333,Guilin,CN,25.2819,110.2864,82.51,89,100,2.28,overcast clouds
334,Hambantota,LK,6.1241,81.1185,88.14,70,40,12.66,scattered clouds
335,Cocobeach,GA,1.0002,9.5823,75.13,84,44,8.5,light rain
336,Koumac,NC,-20.5667,164.2833,73.81,48,60,12.39,broken clouds
337,Kartuzy,PL,54.3342,18.1974,58.59,98,0,4.61,clear sky
338,Jiaohe,CN,43.7286,127.3447,70.68,86,100,5.66,overcast clouds
339,Luderitz,NA,-26.6481,15.1594,55.99,82,83,14.0,broken clouds
340,Tabasco,MX,18.0,-92.6667,77.09,85,86,3.53,overcast clouds
341,Winslow,US,35.0242,-110.6974,73.58,67,1,1.01,clear sky
342,Sembakung,ID,3.8167,117.25,80.53,52,100,1.9,moderate rain
343,Cabrero,CL,-37.0333,-72.4,41.43,85,0,8.05,clear sky
344,Nemuro,JP,43.3236,145.575,64.83,76,95,25.17,overcast clouds
